"Global_x","Global_y","pop_ID"
2502.567871,916.2203369,"Tumor B"
2547.078369,974.9804077,"Tumor B"
2491.724854,940.4954224,"Macrophage B"
2941.410156,975.7564087,"Tumor B"
2913.652588,1001.560303,"Tumor B"
2983.864746,943.1824341,"Microglia B"
2967.756836,955.7747803,"Microglia B"
2940.303467,935.0178833,"Microglia B"
3544.037354,1361.670776,"Tumor B"
3446.326904,1219.076904,"Macrophage B"
3564.095947,1418.991943,"Tumor B"
3170.855713,985.1958618,"Tumor B"
3114.124268,1043.908447,"Microglia B"
3117.56665,969.4666748,"Tumor A"
3178.022461,949.1193848,"Macrophage A"
3186.983154,1001.313538,"Macrophage B"
3065.685303,1005.598755,"Tumor B"
3044.864502,996.5128174,"Tumor B"
3018.12793,1039.488403,"Microglia B"
3199.828613,929.0285645,"Tumor B"
3070.781006,946.8905029,"Tumor B"
3001.443115,1025.841797,"Microglia B"
2983.584717,1049.381348,"Tumor B"
3030.37207,987.5639648,"Tumor B"
3012.445557,981.3364868,"Tumor B"
3347.8125,1061.862549,"Tumor B"
3139.200684,1088.279053,"Tumor B"
3157.120605,1093.768799,"Tumor A"
3138.62085,1113.390137,"Tumor B"
3176.141602,1039.088501,"Macrophage B"
3360.53418,1092.799072,"Macrophage B"
3390.071533,1127.693848,"Microglia B"
